Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
1016879253|WP_063131934.1|1|1|blaOXA-163|blaOXA-48_fam|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|OXA-48_family_extended-spectrum_class_D_beta-lactamase_OXA-163	blaOXA-163	OXA-48 family extended-spectrum class D beta-lactamase OXA-163	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	261	261	100.00	100.00	261	WP_063131934.1	OXA-48 family extended-spectrum class D beta-lactamase OXA-163	NF000387.2	OXA-48 family class D beta-lactamase
1022944076|WP_063454569.1|1|1|blaOXA-498|blaOXA-211_fam|hydrolase|2|||OXA-211_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-498	blaOXA-498	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-498	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_063454569.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-498	NF000417.2	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
1025836204|WP_063569909.1|1|1|blaOXA-258|blaOXA-PR|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-258	blaOXA-258	class D beta-lactamase OXA-258	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_063569909.1	class D beta-lactamase OXA-258	NF000270.1	class D beta-lactamase
1028078996|WP_063839877.1|1|2|blaOXA-PR|blaOXA-PR|hydrolase|2|BETA-LACTAM|BETA-LACTAM|bifunctional_class_C_beta-lactamase/class_D_beta-lactamase_fusion_protein_LRA-13	blaOXA/blaLRA13	bifunctional class C beta-lactamase/class D beta-lactamase fusion protein LRA-13	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTP	609	609	100.00	100.00	609	WP_063839877.1	bifunctional class C beta-lactamase/class D beta-lactamase fusion protein LRA-13	NF033085.1	class C beta-lactamase
1028105956|WP_063860937.1|1|1|blaOXA-101|blaOXA-10_fam|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-101	blaOXA-101	OXA-10 family class D beta-lactamase OXA-101	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	266	266	100.00	100.00	266	WP_063860937.1	OXA-10 family class D beta-lactamase OXA-101	NF000386.2	OXA-10 family class D beta-lactamase
1028105957|WP_063860938.1|1|1|blaOXA-108|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-108	blaOXA-108	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-108	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063860938.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-108	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028105958|WP_063860939.1|1|1|blaOXA-11|blaOXA-10_fam|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|OXA-10_family_extended-spectrum_class_D_beta-lactamase_OXA-11	blaOXA-11	OXA-10 family extended-spectrum class D beta-lactamase OXA-11	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	266	266	100.00	100.00	266	WP_063860939.1	OXA-10 family extended-spectrum class D beta-lactamase OXA-11	NF000386.2	OXA-10 family class D beta-lactamase
1028105959|WP_063860940.1|1|1|blaOXA-110|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-110	blaOXA-110	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-110	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063860940.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-110	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028105960|WP_063860941.1|1|1|blaOXA-112|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-112	blaOXA-112	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-112	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063860941.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-112	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028105999|WP_063860980.1|1|1|blaOXA-114d|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114d	blaOXA-114d	class D beta-lactamase OXA-114d	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_063860980.1	class D beta-lactamase OXA-114d	NF033818.0	OXA-114 family class D beta-lactamase
1028106019|WP_063861000.1|1|1|blaOXA-114g|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-114g	blaOXA-114g	class D beta-lactamase OXA-114g	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_063861000.1	class D beta-lactamase OXA-114g	NF033818.0	OXA-114 family class D beta-lactamase
1028106023|WP_063861004.1|1|1|blaOXA-115|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-115	blaOXA-115	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-115	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861004.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-115	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106039|WP_063861020.1|1|1|blaOXA-118|blaOXA-46_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-46_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-118	blaOXA-118	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase OXA-118	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_063861020.1	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase OXA-118	NF033104.0	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
1028106048|WP_063861029.1|1|1|blaOXA-12|blaOXA-12_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-12	blaOXA-12	oxacillin-hydrolyzing class D beta-lactamase OXA-12	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	264	264	100.00	100.00	264	WP_063861029.1	oxacillin-hydrolyzing class D beta-lactamase OXA-12	NF033702.0	OXA-12 family class D beta-lactamase
1028106049|WP_063861030.1|1|1|blaOXA-122|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-122	blaOXA-122	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-122	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861030.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-122	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106050|WP_063861031.1|1|1|blaOXA-123|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-123	blaOXA-123	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-123	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861031.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-123	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106052|WP_063861032.1|1|1|blaOXA-124|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-124	blaOXA-124	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-124	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861032.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-124	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106053|WP_063861033.1|1|1|blaOXA-125|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-125	blaOXA-125	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-125	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861033.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-125	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106054|WP_063861034.1|1|1|blaOXA-127|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-127	blaOXA-127	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-127	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861034.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-127	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106055|WP_063861035.1|1|1|blaOXA-13|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-13	blaOXA-13	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase OXA-13	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_063861035.1	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase OXA-13	NF000386.2	OXA-10 family class D beta-lactamase
1028106056|WP_063861036.1|1|1|blaOXA-130|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-130	blaOXA-130	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-130	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861036.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-130	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106057|WP_063861037.1|1|1|blaOXA-131|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-131	blaOXA-131	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-131	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861037.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-131	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106059|WP_063861038.1|1|1|blaOXA-133|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-133	blaOXA-133	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-133	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063861038.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-133	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
1028106062|WP_063861039.1|1|1|blaOXA-138|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-138	blaOXA-138	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-138	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063861039.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-138	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1028106064|WP_063861040.1|1|1|blaOXA-139|blaOXA-24_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-24_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-139	blaOXA-139	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-139	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_063861040.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-139	NF000434.2	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
