	NCBI Sequence ID	NCBI Sequence Accession	AMRFinderPlus v3.10.40 with 2022-08-09.1 symbol	AMRFinderPlus v3.10.40 with 2022-08-09.1 accession	AMRFinderPlus v3.10.40 with 2022-08-09.1 drug class	RGI v5.2.1 with v3.2.4 symbol	RGI v5.2.1 with v3.2.4 accession	RGI v5.2.1 with v3.2.4 drug class
0	OXA-163	WP_063131934.1	OXA-163	WP_063131934.1	cephalosporin	OXA-163	ADY06444.1	carbapenem/cephalosporin/penam
1	OXA-498	WP_063454569.1	OXA-498	WP_063454569.1	beta-lactam	OXA-498	WP_063454569.1	carbapenem/cephalosporin/penam
2	OXA-258	WP_063569909.1	OXA-258	WP_063569909.1	beta-lactam	OXA-258	CCE73593.2	carbapenem/cephalosporin/penam
3	OXA-PR	WP_063839877.1	OXA/LRA13	WP_063839877.1	beta-lactam	LRA-13		
4	OXA-101	WP_063860937.1	OXA-101	WP_063860937.1	cephalosporin	OXA-101	CAL85435.1	carbapenem/cephalosporin/penam
5	OXA-108	WP_063860938.1	OXA-108	WP_063860938.1	carbapenem	OXA-108	ABV31688.1	carbapenem/cephalosporin/penam
6	OXA-11	WP_063860939.1	OXA-11	WP_063860939.1	cephalosporin	OXA-11	CAA80304.1	carbapenem/cephalosporin/penam
7	OXA-110	WP_063860940.1	OXA-110	WP_063860940.1	carbapenem	OXA-110	ABV31690.1	carbapenem/cephalosporin/penam
8	OXA-112	WP_063860941.1	OXA-112	WP_063860941.1	carbapenem	OXA-112	ABV31692.1	carbapenem/cephalosporin/penam
9	OXA-114d	WP_063860980.1	OXA-114d	WP_063860980.1	beta-lactam	OXA-114d	WP_063860980.1	carbapenem/cephalosporin/penam
10	OXA-114g	WP_063861000.1	OXA-114g	WP_063861000.1	beta-lactam	OXA-114g	WP_063861000.1	carbapenem/cephalosporin/penam
11	OXA-115	WP_063861004.1	OXA-115	WP_063861004.1	carbapenem	OXA-115	ABS71123.1	carbapenem/cephalosporin/penam
12	OXA-118	WP_063861020.1	OXA-118	WP_063861020.1	beta-lactam	OXA-118	AAK55330.1	carbapenem/cephalosporin/penam
13	OXA-12	WP_063861029.1	OXA-12	WP_063861029.1	beta-lactam	OXA-12	AAA83417.1	carbapenem/cephalosporin/penam
14	OXA-122	WP_063861030.1	OXA-122	WP_063861030.1	carbapenem	OXA-122	ABX45061.1	carbapenem/cephalosporin/penam
15	OXA-123	WP_063861031.1	OXA-123	WP_063861031.1	carbapenem	OXA-123	ABX45062.1	carbapenem/cephalosporin/penam
16	OXA-124	WP_063861032.1	OXA-124	WP_063861032.1	carbapenem	OXA-124	ABX45063.1	carbapenem/cephalosporin/penam
17	OXA-125	WP_063861033.1	OXA-125	WP_063861033.1	carbapenem	OXA-125	ABX45064.1	carbapenem/cephalosporin/penam
18	OXA-127	WP_063861034.1	OXA-127	WP_063861034.1	carbapenem	OXA-127	ABX45066.1	carbapenem/cephalosporin/penam
19	OXA-13	WP_063861035.1	OXA-13	WP_063861035.1	beta-lactam	OXA-13	AAC46344.1	carbapenem/cephalosporin/penam
20	OXA-130	WP_063861036.1	OXA-130	WP_063861036.1	carbapenem	OXA-130	ACD84988.1	carbapenem/cephalosporin/penam
21	OXA-131	WP_063861037.1	OXA-131	WP_063861037.1	carbapenem	OXA-131	ACD84989.1	carbapenem/cephalosporin/penam
22	OXA-133	WP_063861038.1	OXA-133	WP_063861038.1	carbapenem	OXA-133	ACE63186.1	carbapenem/cephalosporin/penam
23	OXA-138	WP_063861039.1	OXA-138	WP_063861039.1	carbapenem	OXA-138	ACD45467.1	carbapenem/cephalosporin/penam
24	OXA-139	WP_063861040.1	OXA-139	WP_063861040.1	carbapenem	OXA-139	CAQ51348.1	carbapenem/cephalosporin/penam
25	OXA-142	WP_063861041.1	OXA-142	WP_063861041.1	cephalosporin	OXA-142	ABY79006.1	carbapenem/cephalosporin/penam
26	OXA-143	WP_063861042.1	OXA-143	WP_063861042.1	carbapenem	OXA-143	ACX70402.1	carbapenem/cephalosporin/penam
27	OXA-145	WP_063861043.1	OXA-145	WP_063861043.1	cephalosporin	OXA-145	ACN85419.1	carbapenem/cephalosporin/penam
28	OXA-146	WP_063861044.1	OXA-146	WP_063861044.1	carbapenem	OXA-146	ACI28281.1	carbapenem/cephalosporin/penam
29	OXA-147	WP_063861045.1	OXA-147	WP_063861045.1	cephalosporin	OXA-147	ACO72579.1	carbapenem/cephalosporin/penam
30	OXA-148	WP_063861046.1	OXA-148	WP_063861046.1	carbapenem	OXA-148	ACX31140.1	carbapenem/cephalosporin/penam
31	OXA-149	WP_063861047.1	OXA-149	WP_063861047.1	carbapenem	OXA-149	ACX31141.1	carbapenem/cephalosporin/penam
32	OXA-15	WP_063861048.1	OXA-15	WP_063861048.1	cephalosporin	OXA-15	AAB05874.1	carbapenem/cephalosporin/penam
33	OXA-150	WP_063861049.1	OXA-150	WP_063861049.1	carbapenem	OXA-150	ACX31142.1	carbapenem/cephalosporin/penam
34	OXA-152	WP_063861050.1	OXA-152	WP_063861050.1	carbapenem	OXA-152	ALA99186.1	carbapenem/cephalosporin/penam
35	OXA-154	WP_063861062.1	OXA-154	WP_063861062.1	carbapenem	OXA-154	SNU87672.1	carbapenem/cephalosporin/penam
36	OXA-155	WP_063861067.1	OXA-155	WP_063861067.1	carbapenem	OXA-155	ALA99189.1	carbapenem/cephalosporin/penam
37	OXA-158	WP_063861081.1	OXA-158	WP_063861081.1	carbapenem	OXA-158	ALA99192.1	carbapenem/cephalosporin/penam
38	OXA-159	WP_063861087.1	OXA-159	WP_063861087.1	carbapenem	OXA-159	WP_063861087.1	carbapenem/cephalosporin/penam
39	OXA-160	WP_063861093.1	OXA-160	WP_063861093.1	carbapenem	OXA-160	ADB28891.1	carbapenem/cephalosporin/penam
40	OXA-161	WP_063861101.1	OXA-161	WP_063861101.1	cephalosporin	OXA-161	ACT09125.1	carbapenem/cephalosporin/penam
41	OXA-164	WP_063861121.1	OXA-164	WP_063861121.1	carbapenem	OXA-164	ADK34116.1	carbapenem/cephalosporin/penam
42	OXA-165	WP_063861123.1	OXA-165	WP_063861123.1	carbapenem	OXA-165	ADK35869.1	carbapenem/cephalosporin/penam
43	OXA-166	WP_063861129.1	OXA-166	WP_063861129.1	carbapenem	OXA-166	ADK35870.1	carbapenem/cephalosporin/penam
44	OXA-167	WP_063861133.1	OXA-167	WP_063861133.1	carbapenem	OXA-167	ADK35871.1	carbapenem/cephalosporin/penam
45	OXA-168	WP_063861136.1	OXA-168	WP_063861136.1	carbapenem	OXA-168	ADK35872.1	carbapenem/cephalosporin/penam
46	OXA-169	WP_063861140.1	OXA-169	WP_063861140.1	carbapenem	OXA-169	ADK35873.1	carbapenem/cephalosporin/penam
47	OXA-170	WP_063861151.1	OXA-170	WP_063861151.1	carbapenem	OXA-170	ADK35874.1	carbapenem/cephalosporin/penam
48	OXA-171	WP_063861157.1	OXA-171	WP_063861157.1	carbapenem	OXA-171	ADK35875.1	carbapenem/cephalosporin/penam
49	OXA-173	WP_063861179.1	OXA-173	WP_063861179.1	carbapenem	OXA-173	ADI58617.1	carbapenem/cephalosporin/penam
50	OXA-174	WP_063861185.1	OXA-174	WP_063861185.1	carbapenem	OXA-174	ADI58618.1	carbapenem/cephalosporin/penam
51	OXA-175	WP_063861191.1	OXA-175	WP_063861191.1	carbapenem	OXA-175	ADI58619.1	carbapenem/cephalosporin/penam
