ID,Combined_AMR,RGI,AMRFinder,ncbi,subfamily,family,family__color,ncbi_family,card_family,Combined_drug_class,ncbi_drug_class,RGI_drug_class,AMRFinder_drug_class
AAD12233.1,OXA-22,OXA-22,,,,benzylpenicillin-hydrolyzing class D beta-lactamase,#ffffff,,benzylpenicillin-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ADM47435.1,OXA-134,OXA-134,,,,carbapenem-hydrolyzing class D beta-lactamase,#ffffff,,carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ACX70402.1,OXA-143,OXA-143,,,,carbapenem-hydrolyzing class D beta-lactamase,#ffffff,,carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ADT70779.1,OXA-198,OXA-198,,,,carbapenem-hydrolyzing class D beta-lactamase,#ffffff,,carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AEV91550.1,OXA-211,OXA-211,,,,carbapenem-hydrolyzing class D beta-lactamase,#ffffff,,carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AEV91552.1,OXA-213,OXA-213,,,,carbapenem-hydrolyzing class D beta-lactamase,#ffffff,,carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AEV91553.1,OXA-214,OXA-214,,,,carbapenem-hydrolyzing class D beta-lactamase,#ffffff,,carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AFM55000.1,OXA-229,OXA-229,,,,carbapenem-hydrolyzing class D beta-lactamase,#ffffff,,carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
AIG22448.1,OXA-372,OXA-372,,,,carbapenem-hydrolyzing class D beta-lactamase,#ffffff,,carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
ARO85965.1,OXA-427,OXA-427,,,,carbapenem-hydrolyzing class D beta-lactamase,#ffffff,,carbapenem-hydrolyzing class D beta-lactamase,carbapenem/cephalosporin/penam,,carbapenem/cephalosporin/penam,
