blaOXA-22,blaOXA,WP_063861776.1,WP_063861776.1,AAD12233.1,AF064820.3,benzylpenicillin-hydrolyzing class D beta-lactamase OXA-22,Beta-lactamase (not ESBL or carbapenemase)
,blaOXA/blaLRA13,WP_063839877.1,WP_063839877.1,ACH58991.1,EU408352.1,bifunctional class C beta-lactamase/class D beta-lactamase fusion protein LRA-13,Beta-lactamase (unknown spectrum)
blaOXA-1036,blaOXA,WP_104442312.1,WP_104442312.1,AUX87883.1,CP026412.1,carbapenem-hydrolyzing class D beta-lactamase OXA-1036,Carbapenemase
blaOXA-1089,blaOXA,WP_075071939.1,WP_075071939.1,GAP12525.1,DF967972.1,carbapenem-hydrolyzing class D beta-lactamase OXA-1089,Carbapenemase
blaOXA-1090,blaOXA,WP_051601260.1,WP_051601260.1,KCZ55067.1,AWFF01000032.1,carbapenem-hydrolyzing class D beta-lactamase OXA-1090,Carbapenemase
blaOXA-134,blaOXA,WP_005104969.1,WP_005104969.1,ADM47435.1,HQ122933.1,carbapenem-hydrolyzing class D beta-lactamase OXA-134,Carbapenemase
blaOXA-143,blaOXA,WP_063861042.1,WP_063861042.1,ACX70402.1,GQ861437.1,carbapenem-hydrolyzing class D beta-lactamase OXA-143,Carbapenemase
blaOXA-198,blaOXA,WP_094865115.1,WP_094865115.1,,HQ634775.2,carbapenem-hydrolyzing class D beta-lactamase OXA-198,Carbapenemase
blaOXA-211,blaOXA,WP_063861666.1,WP_063861666.1,AEV91550.1,JN861779.1,carbapenem-hydrolyzing class D beta-lactamase OXA-211,Carbapenemase
blaOXA-213,blaOXA,WP_005047495.1,WP_005047495.1,AEV91552.1,JN861781.1,carbapenem-hydrolyzing class D beta-lactamase OXA-213,Carbapenemase
blaOXA-214,blaOXA,WP_008942158.1,WP_008942158.1,AEV91553.1,JN861782.1,carbapenem-hydrolyzing class D beta-lactamase OXA-214,Carbapenemase
blaOXA-229,blaOXA,WP_063861840.1,WP_063861840.1,AFM55000.1,JQ422052.1,carbapenem-hydrolyzing class D beta-lactamase OXA-229,Carbapenemase
blaOXA-372,blaOXA,WP_063862739.1,WP_063862739.1,AIG22448.1,KJ746496.1,carbapenem-hydrolyzing class D beta-lactamase OXA-372,Carbapenemase
blaOXA-427,blaOXA,WP_096807440.1,WP_096807440.1,ARO85965.1,KX827604.1,carbapenem-hydrolyzing class D beta-lactamase OXA-427,Carbapenemase
blaOXA-542,blaOXA,WP_109545048.1,WP_109545048.1,AQT01639.1,KY646155.1,carbapenem-hydrolyzing class D beta-lactamase OXA-542,Carbapenemase
blaOXA-55,blaOXA,WP_063864256.1,WP_063864256.1,AAR03105.1,AY343493.1,carbapenem-hydrolyzing class D beta-lactamase OXA-55,Carbapenemase
blaOXA-60,blaOXA,WP_063864500.1,WP_063864500.1,AAQ08905.1,AF525303.2,carbapenem-hydrolyzing class D beta-lactamase OXA-60,Carbapenemase
blaOXA-62,blaOXA,WP_063864527.1,WP_063864527.1,AAR32134.1,AY423074.1,carbapenem-hydrolyzing class D beta-lactamase OXA-62,Carbapenemase
blaOXA-665,blaOXA,WP_016657654.1,WP_016657654.1,EPF70268.1,ATGI01000038.1,carbapenem-hydrolyzing class D beta-lactamase OXA-665,Carbapenemase
blaOXA-900,blaOXA,WP_178317675.1,WP_178317675.1,QIB97956.1,MN936180.1,carbapenem-hydrolyzing class D beta-lactamase OXA-900,Beta-lactamase (unknown spectrum)
blaOXA-1006,blaOXA,WP_231869629.1,WP_231869629.1,QWA20206.1,MZ265759.1,class D beta-lactamase OXA-1006,Beta-lactamase (unknown spectrum)
blaOXA-1011,blaOXA,WP_211816370.1,WP_211816370.1,QUG49855.1,CP073309.1,class D beta-lactamase OXA-1011,Beta-lactamase (unknown spectrum)
blaOXA-1043,blaOXA,WP_077021671.1,WP_077021671.1,QUN38553.1,CP073669.1,class D beta-lactamase OXA-1043,Beta-lactamase (unknown spectrum)
blaOXA-1091,blaOXA,WP_012045014.1,WP_012045014.1,ABQ37031.1,CP000494.1,class D beta-lactamase OXA-1091,Beta-lactamase (unknown spectrum)
blaOXA-114a,blaOXA,WP_054505840.1,WP_054505840.1,ABX38721.1,EU188842.1,class D beta-lactamase OXA-114a,Beta-lactamase (not ESBL or carbapenemase)
blaOXA-114b,blaOXA,WP_006384924.1,WP_006384924.1,ADI23933.1,HM056040.1,class D beta-lactamase OXA-114b,Beta-lactamase (unknown spectrum)
blaOXA-114c,blaOXA,WP_054448427.1,WP_054448427.1,ADI23934.1,HM056041.1,class D beta-lactamase OXA-114c,Beta-lactamase (unknown spectrum)
blaOXA-114d,blaOXA,WP_063860980.1,WP_063860980.1,ADI25068.1,HM104633.1,class D beta-lactamase OXA-114d,Beta-lactamase (unknown spectrum)
blaOXA-114e,blaOXA,WP_049058560.1,WP_049058560.1,ADI25069.1,HM104634.1,class D beta-lactamase OXA-114e,Beta-lactamase (unknown spectrum)
blaOXA-114f,blaOXA,WP_024069684.1,WP_024069684.1,ADO14462.1,HM368375.1,class D beta-lactamase OXA-114f,Beta-lactamase (unknown spectrum)
blaOXA-114g,blaOXA,WP_063861000.1,WP_063861000.1,ADO14463.1,HM368376.1,class D beta-lactamase OXA-114g,Beta-lactamase (unknown spectrum)
blaOXA-114h,blaOXA,WP_053498400.1,WP_053498400.1,AFQ90095.1,JX206456.1,class D beta-lactamase OXA-114h,Beta-lactamase (unknown spectrum)
blaOXA-114i,blaOXA,WP_026382828.1,WP_026382828.1,AFQ90089.1,JX206450.1,class D beta-lactamase OXA-114i,Beta-lactamase (unknown spectrum)
blaOXA-114j,blaOXA,WP_054437016.1,WP_054437016.1,AFQ90090.1,JX206451.1,class D beta-lactamase OXA-114j,Beta-lactamase (unknown spectrum)
blaOXA-114k,blaOXA,WP_136512073.1,WP_136512073.1,AFQ90091.1,JX206452.1,class D beta-lactamase OXA-114k,Beta-lactamase (unknown spectrum)
blaOXA-114l,blaOXA,WP_054517040.1,WP_054517040.1,AFQ90092.1,JX206453.1,class D beta-lactamase OXA-114l,Beta-lactamase (unknown spectrum)
blaOXA-114m,blaOXA,WP_054471662.1,WP_054471662.1,AFQ90093.1,JX206454.1,class D beta-lactamase OXA-114m,Beta-lactamase (unknown spectrum)
blaOXA-114n,blaOXA,WP_136512074.1,WP_136512074.1,AFQ90094.1,JX206455.1,class D beta-lactamase OXA-114n,Beta-lactamase (unknown spectrum)
blaOXA-114p,blaOXA,WP_076412384.1,WP_076412384.1,AGW27419.1,KF573363.1,class D beta-lactamase OXA-114p,Beta-lactamase (unknown spectrum)
blaOXA-114q,blaOXA,WP_136512075.1,WP_136512075.1,AGW27420.1,KF573364.1,class D beta-lactamase OXA-114q,Beta-lactamase (unknown spectrum)
blaOXA-114r,blaOXA,WP_136512076.1,WP_136512076.1,AGW27421.1,KF573365.1,class D beta-lactamase OXA-114r,Beta-lactamase (unknown spectrum)
blaOXA-114s,blaOXA,WP_136512077.1,WP_136512077.1,AGW27422.1,KF573366.1,class D beta-lactamase OXA-114s,Beta-lactamase (unknown spectrum)
blaOXA-114t,blaOXA,WP_136512078.1,WP_136512078.1,AGW27423.1,KF573367.1,class D beta-lactamase OXA-114t,Beta-lactamase (unknown spectrum)
blaOXA-114u,blaOXA,WP_136512079.1,WP_136512079.1,AGW27424.1,KF573368.1,class D beta-lactamase OXA-114u,Beta-lactamase (unknown spectrum)
blaOXA-114v,blaOXA,WP_136512080.1,WP_136512080.1,AGW27425.1,KF573369.1,class D beta-lactamase OXA-114v,Beta-lactamase (unknown spectrum)
blaOXA-114w,blaOXA,WP_136512081.1,WP_136512081.1,ALX18469.1,KU323970.1,class D beta-lactamase OXA-114w,Beta-lactamase (unknown spectrum)
blaOXA-114x,blaOXA,WP_136512082.1,WP_136512082.1,ALX18470.1,KU323971.1,class D beta-lactamase OXA-114x,Beta-lactamase (unknown spectrum)
blaOXA-209,blaOXA,WP_014053563.1,WP_014053563.1,AEM66528.1,JF268688.1,class D beta-lactamase OXA-209,Beta-lactamase (unknown spectrum)
blaOXA-243,blaOXA,WP_006391197.1,WP_006391197.1,AFQ90085.1,JX206446.1,class D beta-lactamase OXA-243,Beta-lactamase (unknown spectrum)
blaOXA-258,blaOXA,WP_063569909.1,WP_063569909.1,CCE73593.2,HE614014.2,class D beta-lactamase OXA-258,Beta-lactamase (unknown spectrum)
blaOXA-266,blaOXA,WP_004878009.1,WP_004878009.1,ENV38192.1,APPO01000008.1,class D beta-lactamase OXA-266,Beta-lactamase (unknown spectrum)
blaOXA-279,blaOXA,WP_004683508.1,WP_004683508.1,ENU35234.1,APOM01000058.1,class D beta-lactamase OXA-279,Beta-lactamase (unknown spectrum)
blaOXA-289,blaOXA,WP_081400730.1,WP_081400730.1,,APRM01000005.1,class D beta-lactamase OXA-289,Beta-lactamase (unknown spectrum)
blaOXA-290,blaOXA,WP_081398973.1,WP_081398973.1,,APOK01000044.1,class D beta-lactamase OXA-290,Beta-lactamase (unknown spectrum)
blaOXA-294,blaOXA,WP_004776204.1,WP_004776204.1,ENU93232.1,APPC01000015.1,class D beta-lactamase OXA-294,Beta-lactamase (unknown spectrum)
blaOXA-296,blaOXA,WP_004650739.1,WP_004650739.1,ENU21024.1,APOH01000009.1,class D beta-lactamase OXA-296,Beta-lactamase (unknown spectrum)
blaOXA-299,blaOXA,WP_005011312.1,WP_005011312.1,ENV82218.1,APQD01000016.1,class D beta-lactamase OXA-299,Beta-lactamase (unknown spectrum)
blaOXA-308,blaOXA,WP_004867933.1,WP_004867933.1,ENV32314.1,APPN01000080.1,class D beta-lactamase OXA-308,Beta-lactamase (unknown spectrum)
blaOXA-347,blaOXA,WP_004295324.1,WP_004295324.1,AET35493.1,JN086160.1,class D beta-lactamase OXA-347,Beta-lactamase (unknown spectrum)
blaOXA-457,blaOXA,WP_063864087.1,WP_063864087.1,ALC76098.1,KP903886.1,class D beta-lactamase OXA-457,Beta-lactamase (unknown spectrum)
blaOXA-458,blaOXA,WP_063864088.1,WP_063864088.1,ALC76100.1,KP903888.1,class D beta-lactamase OXA-458,Beta-lactamase (unknown spectrum)
blaOXA-459,blaOXA,WP_063864089.1,WP_063864089.1,ALC76101.1,KP903889.1,class D beta-lactamase OXA-459,Beta-lactamase (unknown spectrum)
blaOXA-491,blaOXA,WP_020848173.1,WP_020848173.1,KLE07522.1,JAIV01000087.1,class D beta-lactamase OXA-491,Beta-lactamase (unknown spectrum)
blaOXA-493,blaOXA,WP_012662081.1,WP_012662081.1,AJC94664.1,CP007774.1,class D beta-lactamase OXA-493,Beta-lactamase (unknown spectrum)
blaOXA-504,blaOXA,WP_063864115.1,WP_063864115.1,ALG65432.1,KT355710.1,class D beta-lactamase OXA-504,Beta-lactamase (unknown spectrum)
blaOXA-527,blaOXA,WP_068981642.1,WP_068981642.1,ANW47163.1,KX599404.1,class D beta-lactamase OXA-527,Beta-lactamase (unknown spectrum)
blaOXA-548,blaOXA,WP_087587939.1,WP_087587939.1,AQX43448.1,KY682750.1,class D beta-lactamase OXA-548,Beta-lactamase (unknown spectrum)
blaOXA-568,blaOXA,WP_099337823.1,WP_099337823.1,ATO19096.1,CP024011.1,class D beta-lactamase OXA-568,Beta-lactamase (unknown spectrum)
