allele,gene_family,refseq_protein_accession,refseq_nucleotide_accession,genbank_protein_accession,genbank_nucleotide_accession,product_name,enhanced_subclass,fasta_header,acc
blaOXA-22,blaOXA,WP_063861776.1,WP_063861776.1,AAD12233.1,AF064820.3,benzylpenicillin-hydrolyzing class D beta-lactamase OXA-22,Beta-lactamase (not ESBL or carbapenemase),gb|AAD12233.1|ARO:3001417|OXA-22 [Ralstonia pickettii] ,AAD12233.1
,blaOXA/blaLRA13,WP_063839877.1,WP_063839877.1,ACH58991.1,EU408352.1,bifunctional class C beta-lactamase/class D beta-lactamase fusion protein LRA-13,Beta-lactamase (unknown spectrum),1028078996|WP_063839877.1|1|2|blaOXA-PR|blaOXA-PR|hydrolase|2|BETA-LACTAM|BETA-LACTAM|bifunctional_class_C_beta-lactamase/class_D_beta-lactamase_fusion_protein_LRA-13,WP_063839877.1
blaOXA-1036,blaOXA,WP_104442312.1,WP_104442312.1,AUX87883.1,CP026412.1,carbapenem-hydrolyzing class D beta-lactamase OXA-1036,Carbapenemase,1348927922|WP_104442312.1|1|1|blaOXA-1036|blaOXA-1036_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1036,WP_104442312.1
blaOXA-1089,blaOXA,WP_075071939.1,WP_075071939.1,GAP12525.1,DF967972.1,carbapenem-hydrolyzing class D beta-lactamase OXA-1089,Carbapenemase,1125744093|WP_075071939.1|1|1|blaOXA-1089|blaOXA-1089_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1089,WP_075071939.1
blaOXA-1090,blaOXA,WP_051601260.1,WP_051601260.1,KCZ55067.1,AWFF01000032.1,carbapenem-hydrolyzing class D beta-lactamase OXA-1090,Carbapenemase,916994548|WP_051601260.1|1|1|blaOXA-1090|blaOXA-VL06|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1090,WP_051601260.1
blaOXA-134,blaOXA,WP_005104969.1,WP_005104969.1,ADM47435.1,HQ122933.1,carbapenem-hydrolyzing class D beta-lactamase OXA-134,Carbapenemase,gb|ADM47435.1|ARO:3001695|OXA-134 [Acinetobacter lwoffii] ,ADM47435.1
blaOXA-143,blaOXA,WP_063861042.1,WP_063861042.1,ACX70402.1,GQ861437.1,carbapenem-hydrolyzing class D beta-lactamase OXA-143,Carbapenemase,gb|ACX70402.1|ARO:3001654|OXA-143 [Acinetobacter baumannii] ,ACX70402.1
blaOXA-198,blaOXA,WP_094865115.1,WP_094865115.1,,HQ634775.2,carbapenem-hydrolyzing class D beta-lactamase OXA-198,Carbapenemase,1236055153|WP_094865115.1|1|1|blaOXA-198|blaOXA-198_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-198,WP_094865115.1
blaOXA-211,blaOXA,WP_063861666.1,WP_063861666.1,AEV91550.1,JN861779.1,carbapenem-hydrolyzing class D beta-lactamase OXA-211,Carbapenemase,gb|AEV91550.1|ARO:3001710|OXA-211 [Acinetobacter johnsonii] ,AEV91550.1
blaOXA-213,blaOXA,WP_005047495.1,WP_005047495.1,AEV91552.1,JN861781.1,carbapenem-hydrolyzing class D beta-lactamase OXA-213,Carbapenemase,gb|AEV91552.1|ARO:3001712|OXA-213 [Acinetobacter calcoaceticus] ,AEV91552.1
blaOXA-214,blaOXA,WP_008942158.1,WP_008942158.1,AEV91553.1,JN861782.1,carbapenem-hydrolyzing class D beta-lactamase OXA-214,Carbapenemase,gb|AEV91553.1|ARO:3001713|OXA-214 [Acinetobacter haemolyticus] ,AEV91553.1
blaOXA-229,blaOXA,WP_063861840.1,WP_063861840.1,AFM55000.1,JQ422052.1,carbapenem-hydrolyzing class D beta-lactamase OXA-229,Carbapenemase,gb|AFM55000.1|ARO:3001692|OXA-229 [Acinetobacter bereziniae] ,AFM55000.1
blaOXA-372,blaOXA,WP_063862739.1,WP_063862739.1,AIG22448.1,KJ746496.1,carbapenem-hydrolyzing class D beta-lactamase OXA-372,Carbapenemase,gb|AIG22448.1|ARO:3001558|OXA-372 [Citrobacter freundii] ,AIG22448.1
blaOXA-427,blaOXA,WP_096807440.1,WP_096807440.1,ARO85965.1,KX827604.1,carbapenem-hydrolyzing class D beta-lactamase OXA-427,Carbapenemase,gb|ARO85965.1|ARO:3003115|OXA-427 [Enterobacter cloacae] ,ARO85965.1
blaOXA-542,blaOXA,WP_109545048.1,WP_109545048.1,AQT01639.1,KY646155.1,carbapenem-hydrolyzing class D beta-lactamase OXA-542,Carbapenemase,gb|WP_109545048.1|ARO:3005768|OXA-542 [Acinetobacter pittii] ,WP_109545048.1
