	CARD Sequence ID	RGI v5.2.1 with v3.2.4 symbol	RGI v5.2.1 with v3.2.4 accession	RGI v5.2.1 with v3.2.4 drug class	AMRFinderPlus v3.10.40 with 2022-08-09.1 symbol	AMRFinderPlus v3.10.40 with 2022-08-09.1 accession	AMRFinderPlus v3.10.40 with 2022-08-09.1 drug class	NCBI Family
0	OXA-212	OXA-212	AEV91551.1	carbapenem/cephalosporin/penam	OXA-212	WP_063861677.1	carbapenem	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
1	OXA-329	OXA-329	AGW16411.1	carbapenem/cephalosporin/penam	OXA-329	WP_063862667.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
2	OXA-371	OXA-371	BAO09635.1	carbapenem/cephalosporin/penam	OXA-371	WP_063862738.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
3	OXA-45	OXA-45	CAD58780.1	carbapenem/cephalosporin/penam	OXA-45	WP_032490761.1	cephalosporin	extended-spectrum class D beta-lactamase
4	OXA-226	OXA-226	ACM67635.1	carbapenem/cephalosporin/penam	OXA-226	WP_063861826.1	cephalosporin	OXA-2 family extended-spectrum class D beta-lactamase
5	OXA-60	OXA-60	AAQ08905.1	carbapenem/cephalosporin/penam	OXA-60	WP_063864500.1	carbapenem	carbapenem-hydrolyzing class D beta-lactamase
6	OXA-90	OXA-90	CAJ77809.1	carbapenem/cephalosporin/penam	OXA-90	WP_001021781.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
7	OXA-69	OXA-69	CAM86994.1	carbapenem/cephalosporin/penam	OXA-69	WP_001021779.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
8	OXA-256	OXA-256	CCE94500.1	carbapenem/cephalosporin/penam	OXA-256	WP_014454104.1	beta-lactam	OXA-10 family class D beta-lactamase
9	OXA-330	OXA-330	AGW16412.1	carbapenem/cephalosporin/penam	OXA-330	WP_063862674.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
10	OXA-391	OXA-391	AHN53381.1	carbapenem/cephalosporin/penam	OXA-391	WP_063862755.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
11	OXA-35	OXA-35	AAK49460.1	carbapenem/cephalosporin/penam	OXA-35	WP_063862720.1	cephalosporin	OXA-10 family extended-spectrum class D beta-lactamase
12	OXA-426	OXA-426	AJA32744.1	carbapenem/cephalosporin/penam	OXA-426	WP_038348482.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
13	OXA-61	OXA-61	AAT01092.1	carbapenem/cephalosporin/penam	OXA-61	WP_002872036.1	beta-lactam	class D beta-lactamase
14	OXA-229	OXA-229	AFM55000.1	carbapenem/cephalosporin/penam	OXA-229	WP_063861840.1	carbapenem	carbapenem-hydrolyzing class D beta-lactamase
15	OXA-98	OXA-98	CAK50801.1	carbapenem/cephalosporin/penam	OXA-98	WP_001021777.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
16	OXA-27	OXA-27	AAG35609.2	carbapenem/cephalosporin/penam	OXA-27	WP_063862443.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
17	OXA-236	OXA-236	AFH36332.1	carbapenem/cephalosporin/penam	OXA-236	WP_063862170.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
18	OXA-376	OXA-376	AHL30276.1	carbapenem/cephalosporin/penam	OXA-376	WP_063862742.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
19	OXA-232	OXA-232	AGD91915.1	carbapenem/cephalosporin/penam	OXA-232	WP_043907054.1	carbapenem	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
20	OXA-12	OXA-12	AAA83417.1	carbapenem/cephalosporin/penam	OXA-12	WP_063861029.1	beta-lactam	oxacillin-hydrolyzing class D beta-lactamase
21	OXA-348	OXA-348	AGW83446.1	carbapenem/cephalosporin/penam	OXA-348	WP_063862718.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
22	OXA-195	OXA-195	AEB98921.1	carbapenem/cephalosporin/penam	OXA-195	WP_063861482.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
23	OXA-199	OXA-199	AFC95894.1	carbapenem/cephalosporin/penam	OXA-199	WP_063861505.1	carbapenem	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
24	OXA-21	OXA-21	CAA71699.2	carbapenem/cephalosporin/penam	OXA-21	WP_014386432.1	beta-lactam	OXA-2 family oxacillin-hydrolyzing class D beta-lactamase
25	OXA-113	OXA-113	ABW70410.1	carbapenem/cephalosporin/penam	OXA-113	WP_001021786.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
26	OXA-422	OXA-422	AIY30331.1	carbapenem/cephalosporin/penam	OXA-422	WP_063862828.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
27	OXA-178	OXA-178	ADI58622.1	carbapenem/cephalosporin/penam	OXA-178	WP_063861221.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
28	OXA-181	OXA-181	AEP16366.1	carbapenem/cephalosporin/penam	OXA-181	WP_015060052.1	carbapenem	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
29	OXA-83	OXA-83	ABC26007.1	carbapenem/cephalosporin/penam	OXA-83	WP_057046497.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
30	OXA-9	OXA-9	AAA98406.1	carbapenem/cephalosporin/penam	OXA-9	WP_000722315.1	beta-lactam	oxacillin-hydrolyzing class D beta-lactamase
31	OXA-150	OXA-150	ACX31142.1	carbapenem/cephalosporin/penam	OXA-150	WP_063861049.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
32	OXA-208	OXA-208	CCA94644.1	carbapenem/cephalosporin/penam	OXA-208	WP_001021780.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
33	OXA-43	OXA-43	CAD32565.1	carbapenem/cephalosporin/penam	OXA-43	WP_063862921.1	beta-lactam	OXA-42 family oxacillin-hydrolyzing class D beta-lactamase
34	OXA-174	OXA-174	ADI58618.1	carbapenem/cephalosporin/penam	OXA-174	WP_063861185.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
35	OXA-85	OXA-85	AAP69916.1	carbapenem/cephalosporin/penam	OXA	WP_032835180.1	beta-lactam	oxacillin-hydrolyzing class D beta-lactamase
36	OXA-145	OXA-145	ACN85419.1	carbapenem/cephalosporin/penam	OXA-145	WP_063861043.1	cephalosporin	OXA-10 family extended-spectrum class D beta-lactamase
37	OXA-167	OXA-167	ADK35871.1	carbapenem/cephalosporin/penam	OXA-167	WP_063861133.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
38	OXA-143	OXA-143	ACX70402.1	carbapenem/cephalosporin/penam	OXA-143	WP_063861042.1	carbapenem	carbapenem-hydrolyzing class D beta-lactamase
39	OXA-358	OXA-358	AGZ83154.1	carbapenem/cephalosporin/penam	OXA-358	WP_063862729.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
40	OXA-366	OXA-366	AJO16038.1	carbapenem/cephalosporin/penam	OXA-366	WP_063862736.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
41	OXA-225	OXA-225	AEP43731.1	carbapenem/cephalosporin/penam	OXA-225	WP_063861820.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
42	OXA-31	OXA-31	AAK52604.1	carbapenem/cephalosporin/penam	OXA-31	WP_032490053.1	cephalosporin	OXA-1 family extended-spectrum class D beta-lactamase
43	OXA-278	OXA-278	AGI65307.1	carbapenem/cephalosporin/penam	OXA-278	WP_005220450.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
44	OXA-148	OXA-148	ACX31140.1	carbapenem/cephalosporin/penam	OXA-148	WP_063861046.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
45	OXA-46	OXA-46	AFP97030.1	carbapenem/cephalosporin/penam	OXA-46	WP_063864090.1	beta-lactam	oxacillin-hydrolyzing class D beta-lactamase
46	OXA-130	OXA-130	ACD84988.1	carbapenem/cephalosporin/penam	OXA-130	WP_063861036.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
47	OXA-357	OXA-357	AGZ83153.1	carbapenem/cephalosporin/penam	OXA-357	WP_063862728.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
48	OXA-217	OXA-217	AEO44980.1	carbapenem/cephalosporin/penam	OXA-217	WP_031978611.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
49	OXA-202	OXA-202	ADX07747.1	carbapenem/cephalosporin/penam	OXA-202	WP_063861560.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
50	OXA-352	OXA-352	AGW83450.1	carbapenem/cephalosporin/penam	OXA-352	WP_063862723.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
51	OXA-380	OXA-380	AHL30280.1	carbapenem/cephalosporin/penam	OXA-380	WP_063862745.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
52	OXA-117	OXA-117	ACV49885.1	carbapenem/cephalosporin/penam	OXA-117	WP_002057397.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
53	OXA-144	OXA-144	ACY56711.1	carbapenem/cephalosporin/penam	OXA-144	WP_049581961.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
54	OXA-377	OXA-377	AHL30277.1	carbapenem/cephalosporin/penam	OXA-377	WP_063862743.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
55	OXA-204	OXA-204	AFU91598.1	carbapenem/cephalosporin/penam	OXA-204	WP_032495449.1	carbapenem	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
56	OXA-325	OXA-325	AGW16407.1	carbapenem/cephalosporin/penam	OXA-325	WP_063862646.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
57	OXA-87	OXA-87	ABC84263.1	carbapenem/cephalosporin/penam	OXA-87	WP_032491656.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
58	OXA-54	OXA-54	AAR89917.1	carbapenem/cephalosporin/penam	OXA-54	WP_011071128.1	carbapenem	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
59	OXA-51	OXA-51	CAC83905.2	carbapenem/cephalosporin/monobactam/penam	OXA-51	WP_002033109.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
60	OXA-93	OXA-93	ABF47916.1	carbapenem/cephalosporin/penam	OXA-93	WP_063864542.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
61	OXA-13	OXA-13	AAC46344.1	carbapenem/cephalosporin/penam	OXA-13	WP_063861035.1	beta-lactam	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase
62	OXA-4	OXA-4	AET05998.1	carbapenem/cephalosporin/penam	OXA-4	WP_032491311.1	beta-lactam	OXA-1 family oxacillin-hydrolyzing class D beta-lactamase
63	OXA-106	OXA-106	ABV31686.1	carbapenem/cephalosporin/penam	OXA-106	WP_031963705.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
64	OXA-79	OXA-79	ABV71246.1	carbapenem/cephalosporin/penam	OXA-79	WP_063864535.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
65	OXA-164	OXA-164	ADK34116.1	carbapenem/cephalosporin/penam	OXA-164	WP_063861121.1	carbapenem	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
66	OXA-386	OXA-386	AHL30273.1	carbapenem/cephalosporin/penam	OXA-386	WP_063862750.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
67	OXA-75	OXA-75	CAP01453.1	carbapenem/cephalosporin/penam	OXA-75	WP_001025292.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
68	OXA-120	OXA-120	CCJ32595.1	carbapenem/cephalosporin/penam	OXA-120	WP_004738885.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
69	OXA-163	OXA-163	ADY06444.1	carbapenem/cephalosporin/penam	OXA-163	WP_063131934.1	cephalosporin	OXA-48 family extended-spectrum class D beta-lactamase
70	OXA-133	OXA-133	ACE63186.1	carbapenem/cephalosporin/penam	OXA-133	WP_063861038.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
