Accession	NCBI Family
AEV91551.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
AGW16411.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
BAO09635.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
CAD58780.1	extended-spectrum class D beta-lactamase
ACM67635.1	OXA-2 family extended-spectrum class D beta-lactamase
AAQ08905.1	carbapenem-hydrolyzing class D beta-lactamase
CAJ77809.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
CAM86994.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
CCE94500.1	OXA-10 family class D beta-lactamase
AGW16412.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AHN53381.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AAK49460.1	OXA-10 family extended-spectrum class D beta-lactamase
AJA32744.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AAT01092.1	class D beta-lactamase
AFM55000.1	carbapenem-hydrolyzing class D beta-lactamase
CAK50801.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AAG35609.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
AFH36332.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
AHL30276.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AGD91915.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
AAA83417.1	oxacillin-hydrolyzing class D beta-lactamase
AGW83446.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
AEB98921.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AFC95894.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
CAA71699.2	OXA-2 family oxacillin-hydrolyzing class D beta-lactamase
ABW70410.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AIY30331.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
ADI58622.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AEP16366.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
ABC26007.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AAA98406.1	oxacillin-hydrolyzing class D beta-lactamase
ACX31142.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
CCA94644.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
CAD32565.1	OXA-42 family oxacillin-hydrolyzing class D beta-lactamase
ADI58618.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
AAP69916.1	oxacillin-hydrolyzing class D beta-lactamase
ACN85419.1	OXA-10 family extended-spectrum class D beta-lactamase
ADK35871.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
ACX70402.1	carbapenem-hydrolyzing class D beta-lactamase
