tree	brid	length	support	terminal	depth	topodepth	rootdepth	rightname	comments	leftname	rightcomment	leftcomment
0	0	0.06928	N/A	false	1	344	1	NODE_0000001	[&NCBIFamily="classDbeta-lactamase"]	NODE_0000000	[]	[]
0	1	0.43796	N/A	true	0	1	2	ENV82218.1	[&NCBIFamily="classDbeta-lactamase"]	NODE_0000001	[]	[]
0	2	0.07996	N/A	false	1	343	2	NODE_0000002	[&NCBIFamily="classDbeta-lactamase"]	NODE_0000001	[]	[]
0	3	0.04148	N/A	false	2	75	3	NODE_0000003	[&NCBIFamily="classDbeta-lactamase"]	NODE_0000002	[]	[]
0	4	0.09865	N/A	false	1	31	4	NODE_0000004	[&NCBIFamily="carbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000003	[]	[]
0	5	0.19183	N/A	true	0	1	5	EPF70268.1	[&NCBIFamily="carbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000004	[]	[]
0	6	0.06912	N/A	false	1	30	5	NODE_0000005	[&NCBIFamily="carbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000004	[]	[]
0	7	0.15908	N/A	false	1	7	6	NODE_0000006	[&NCBIFamily="OXA-679familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000005	[]	[]
0	8	0.0162	N/A	true	0	1	7	WP_204376239.1	[&NCBIFamily="OXA-679familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000006	[]	[]
0	9	0.01342	N/A	false	1	6	7	NODE_0000007	[&NCBIFamily="OXA-679familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000006	[]	[]
0	10	0.00982	N/A	false	1	2	8	NODE_0000008	[&NCBIFamily="OXA-679familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000007	[]	[]
0	11	0.02305	N/A	true	0	1	9	WP_204376238.1	[&NCBIFamily="OXA-679familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000008	[]	[]
0	12	0.03304	N/A	true	0	1	9	WP_240067731.1	[&NCBIFamily="OXA-679familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000008	[]	[]
0	13	0.01539	N/A	false	1	4	8	NODE_0000009	[&NCBIFamily="OXA-679familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000007	[]	[]
0	14	0.01456	N/A	true	0	1	9	WP_204376237.1	[&NCBIFamily="OXA-679familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000009	[]	[]
0	15	0.02187	N/A	false	1	3	9	NODE_0000010	[&NCBIFamily="OXA-679familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000009	[]	[]
0	16	0.00358	N/A	true	0	1	10	WP_204376236.1	[&NCBIFamily="OXA-679familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000010	[]	[]
0	17	0	N/A	false	1	2	10	NODE_0000011	[&NCBIFamily="OXA-679familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000010	[]	[]
0	18	0	N/A	true	0	1	11	WP_122634439.1	[&NCBIFamily="OXA-679familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000011	[]	[]
0	19	0.00359	N/A	true	0	1	11	WP_116786836.1	[&NCBIFamily="OXA-679familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000011	[]	[]
0	20	0.08902	N/A	false	2	23	6	NODE_0000012	[&NCBIFamily="carbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000005	[]	[]
0	21	0.10543	N/A	false	1	2	7	NODE_0000013	[&NCBIFamily="carbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000012	[]	[]
0	22	0.08107	N/A	true	0	1	8	WP_109545048.1	[&NCBIFamily="carbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000013	[]	[]
0	23	0.08068	N/A	true	0	1	8	WP_231869629.1	[&NCBIFamily="classDbeta-lactamase"]	NODE_0000013	[]	[]
0	24	0.09127	N/A	false	2	21	7	NODE_0000014	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000012	[]	[]
0	25	0.02889	N/A	false	1	10	8	NODE_0000015	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000014	[]	[]
0	26	0.03612	N/A	true	0	1	9	ADK92148.1	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000015	[]	[]
0	27	0.01095	N/A	false	1	9	9	NODE_0000016	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000015	[]	[]
0	28	0.00636	N/A	false	1	3	10	NODE_0000017	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000016	[]	[]
0	29	0.01555	N/A	true	0	1	11	WP_204376235.1	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000017	[]	[]
0	30	0.03561	N/A	false	1	2	11	NODE_0000018	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000017	[]	[]
0	31	0	N/A	true	0	1	12	ACX70402.1	[&NCBIFamily="carbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000018	[]	[]
0	32	0.0036	N/A	true	0	1	12	AFG29918.1	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000018	[]	[]
0	33	0.00988	N/A	false	2	6	10	NODE_0000019	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000016	[]	[]
0	34	0.00455	N/A	false	1	2	11	NODE_0000020	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000019	[]	[]
0	35	0.00873	N/A	true	0	1	12	AGK07368.1	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000020	[]	[]
0	36	0.00572	N/A	true	0	1	12	WP_109545071.1	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000020	[]	[]
0	37	0.02665	N/A	false	1	4	11	NODE_0000021	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000019	[]	[]
0	38	0	N/A	true	0	1	12	WP_063864112.1	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000021	[]	[]
0	39	0.00358	N/A	false	1	3	12	NODE_0000022	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000021	[]	[]
0	40	0	N/A	true	0	1	13	WP_256875621.1	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000022	[]	[]
0	41	0.00359	N/A	false	1	2	13	NODE_0000023	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000022	[]	[]
0	42	0.00359	N/A	true	0	1	14	AGK07369.1	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000023	[]	[]
0	43	0.0072	N/A	true	0	1	14	WP_140423318.1	[&NCBIFamily="OXA-143familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000023	[]	[]
0	44	0.04688	N/A	false	2	11	8	NODE_0000024	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000014	[]	[]
0	45	0	N/A	false	1	2	9	NODE_0000025	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000024	[]	[]
0	46	0	N/A	true	0	1	10	ADB28892.1	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000025	[]	[]
0	47	0.00359	N/A	true	0	1	10	WP_164461290.1	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000025	[]	[]
0	48	0.00359	N/A	false	1	9	9	NODE_0000026	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000024	[]	[]
0	49	0.00359	N/A	true	0	1	10	ADB28891.1	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000026	[]	[]
0	50	0	N/A	false	1	8	10	NODE_0000027	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000026	[]	[]
0	51	0.00359	N/A	false	1	3	11	NODE_0000028	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000027	[]	[]
0	52	0.0036	N/A	true	0	1	12	AFK28473.1	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000028	[]	[]
0	53	0	N/A	false	1	2	12	NODE_0000029	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000028	[]	[]
0	54	0.00359	N/A	true	0	1	13	WP_087554513.1	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000029	[]	[]
0	55	0	N/A	true	0	1	13	WP_231869647.1	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000029	[]	[]
0	56	0	N/A	false	1	5	11	NODE_0000030	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000027	[]	[]
0	57	0	N/A	true	0	1	12	AAM34291.1	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000030	[]	[]
0	58	0	N/A	false	1	4	12	NODE_0000031	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000030	[]	[]
0	59	0	N/A	false	1	2	13	NODE_0000032	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000031	[]	[]
0	60	0.00724	N/A	true	0	1	14	AAG35607.1	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000032	[]	[]
0	61	0.00359	N/A	true	0	1	14	AKL59536.1	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000032	[]	[]
0	62	0	N/A	false	1	2	13	NODE_0000033	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000031	[]	[]
0	63	0.00359	N/A	true	0	1	14	AAG35608.1	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000033	[]	[]
0	64	0.0036	N/A	true	0	1	14	CAQ51348.1	[&NCBIFamily="OXA-24familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000033	[]	[]
0	65	0.30704	N/A	false	1	44	4	NODE_0000034	[&NCBIFamily="OXA-23familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000003	[]	[]
0	66	0.00108	N/A	true	0	1	5	WP_136512097.1	[&NCBIFamily="OXA-23familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000034	[]	[]
0	67	0.00612	N/A	false	1	43	5	NODE_0000035	[&NCBIFamily="OXA-23familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000034	[]	[]
0	68	0.00358	N/A	false	1	5	6	NODE_0000036	[&NCBIFamily="OXA-23familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000035	[]	[]
0	69	0	N/A	true	0	1	7	QBQ03043.1	[&NCBIFamily="OXA-23familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000036	[]	[]
0	70	0.00359	N/A	false	1	4	7	NODE_0000037	[&NCBIFamily="OXA-23familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000036	[]	[]
0	71	0.00358	N/A	false	1	2	8	NODE_0000038	[&NCBIFamily="OXA-23familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000037	[]	[]
0	72	0.00358	N/A	true	0	1	9	WP_085562421.1	[&NCBIFamily="OXA-23familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000038	[]	[]
0	73	0	N/A	true	0	1	9	WP_136512098.1	[&NCBIFamily="OXA-23familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000038	[]	[]
0	74	0	N/A	false	1	2	8	NODE_0000039	[&NCBIFamily="OXA-23familycarbapenem-hydrolyzingclassDbeta-lactamase"]	NODE_0000037	[]	[]
