Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
gb|AAA83417.1|ARO:3001407|OXA-12	blaOXA-12	oxacillin-hydrolyzing class D beta-lactamase OXA-12	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	264	264	100.00	100.00	264	WP_063861029.1	oxacillin-hydrolyzing class D beta-lactamase OXA-12	NF033702.0	OXA-12 family class D beta-lactamase
gb|AAA98406.1|ARO:3001404|OXA-9	blaOXA-9	oxacillin-hydrolyzing class D beta-lactamase OXA-9	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_000722315.1	oxacillin-hydrolyzing class D beta-lactamase OXA-9	NF040532.1	OXA-9 family class D beta-lactamase
gb|AAB05874.1|ARO:3001410|OXA-15	blaOXA-15	OXA-2 family extended-spectrum class D beta-lactamase OXA-15	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	275	275	100.00	100.00	275	WP_063861048.1	OXA-2 family extended-spectrum class D beta-lactamase OXA-15	NF000267.2	OXA-2 family class D beta-lactamase
gb|AAB58555.1|ARO:3001413|OXA-18	blaOXA-18	extended-spectrum class D beta-lactamase OXA-18	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	275	275	100.00	100.00	275	WP_063861237.1	extended-spectrum class D beta-lactamase OXA-18	NF000270.1	class D beta-lactamase
gb|AAB59082.1|ARO:3001397|OXA-2	blaOXA-2	oxacillin-hydrolyzing class D beta-lactamase OXA-2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_001007673.1	oxacillin-hydrolyzing class D beta-lactamase OXA-2	NF000267.2	OXA-2 family class D beta-lactamase
gb|AAB97924.1|ARO:3001411|OXA-16	blaOXA	OXA-10 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	257	266	96.62	99.61	257	WP_064056056.1	OXA-10 family extended-spectrum class D beta-lactamase OXA-14	NF000386.2	OXA-10 family class D beta-lactamase
gb|AAC41449.1|ARO:3001398|OXA-3	blaOXA-3	OXA-2 family oxacillin-hydrolyzing class D beta-lactamase OXA-3	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_063862540.1	OXA-2 family oxacillin-hydrolyzing class D beta-lactamase OXA-3	NF000267.2	OXA-2 family class D beta-lactamase
gb|AAC46344.1|ARO:3001408|OXA-13	blaOXA-13	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase OXA-13	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_063861035.1	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase OXA-13	NF000386.2	OXA-10 family class D beta-lactamase
gb|AAD02245.1|ARO:3001414|OXA-19	blaOXA-19	OXA-10 family extended-spectrum class D beta-lactamase OXA-19	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	266	266	100.00	100.00	266	WP_063861309.1	OXA-10 family extended-spectrum class D beta-lactamase OXA-19	NF000386.2	OXA-10 family class D beta-lactamase
gb|AAD12233.1|ARO:3001417|OXA-22	blaOXA-22	benzylpenicillin-hydrolyzing class D beta-lactamase OXA-22	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_063861776.1	benzylpenicillin-hydrolyzing class D beta-lactamase OXA-22	NF033509.1	OXA-22 family class D beta-lactamase
gb|AAF72942.1|ARO:3001423|OXA-28	blaOXA-28	OXA-10 family extended-spectrum class D beta-lactamase OXA-28	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	266	266	100.00	100.00	266	WP_032489753.1	OXA-10 family extended-spectrum class D beta-lactamase OXA-28	NF000386.2	OXA-10 family class D beta-lactamase
gb|AAG23871.1|ARO:3001427|OXA-33	blaOXA	OXA-1 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	256	276	92.75	100.00	256	WP_032491311.1	OXA-1 family oxacillin-hydrolyzing class D beta-lactamase OXA-4	NF000388.2	OXA-1 family class D beta-lactamase
gb|AAG24866.1|ARO:3001430|OXA-36	blaOXA	OXA-2 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALP	246	275	89.45	99.59	246	WP_240067729.1	OXA-2 family class D beta-lactamase OXA-1049	NF012161.0	class D beta-lactamase
gb|AAG33665.1|ARO:3001431|OXA-37	blaOXA-37	oxacillin-hydrolyzing class D beta-lactamase OXA-37	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_063862737.1	oxacillin-hydrolyzing class D beta-lactamase OXA-37	NF012161.0	class D beta-lactamase
gb|AAG35607.1|ARO:3001420|OXA-25	blaOXA-25	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-25	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_063862416.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-25	NF000434.2	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAG35608.1|ARO:3001421|OXA-26	blaOXA-26	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-26	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_063862442.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-26	NF000434.2	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAG35609.2|ARO:3001422|OXA-27	blaOXA-27	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-27	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_063862443.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-27	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAG45720.1|ARO:3001405|OXA-10	blaOXA-10	oxacillin-hydrolyzing class D beta-lactamase OXA-10	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	266	266	100.00	100.00	266	WP_000846390.1	oxacillin-hydrolyzing class D beta-lactamase OXA-10	NF000386.2	OXA-10 family class D beta-lactamase
gb|AAK15582.1|ARO:3001428|OXA-34	blaOXA	OXA-2 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	257	275	93.45	99.61	257	WP_001007673.1	oxacillin-hydrolyzing class D beta-lactamase OXA-2	NF000267.2	OXA-2 family class D beta-lactamase
