blaOXA-22,blaOXA,,benzylpenicillin-hydrolyzing class D beta-lactamase OXA-22,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,Beta-lactamase (not ESBL or carbapenemase),no,WP_063861776.1,NG_049518.1,No,AAD12233.1,AF064820.3,+,952,1776,+,101,925,10898703,,,blaOXA-22,2022-08-09.1,WP_063861776.1
,blaOXA/blaLRA13,,bifunctional class C beta-lactamase/class D beta-lactamase fusion protein LRA-13,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,Beta-lactamase (unknown spectrum),no,WP_063839877.1,NG_047216.1,No,ACH58991.1,EU408352.1,-,35395,37224,+,101,1930,18843302,,,"blaOXA-PR,blaLRA-13",2022-08-09.1,WP_063839877.1
blaOXA-1036,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-1036,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,Carbapenemase,no,WP_104442312.1,NG_076807.1,No,AUX87883.1,CP026412.1,+,1625491,1626330,+,101,940,,,,blaOXA-1036,2022-08-09.1,WP_104442312.1
blaOXA-1089,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-1089,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,Carbapenemase,yes,WP_075071939.1,NG_079246.1,No,GAP12525.1,DF967972.1,+,292414,293283,+,101,970,35311582,,,blaOXA-1089,2022-08-09.1,WP_075071939.1
blaOXA-1090,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-1090,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,Carbapenemase,yes,WP_051601260.1,NG_079247.1,No,KCZ55067.1,AWFF01000032.1,-,200410,201234,+,101,925,35311582,,,blaOXA-1090,2022-08-09.1,WP_051601260.1
blaOXA-134,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-134,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,Carbapenemase,no,WP_005104969.1,NG_049434.1,No,ADM47435.1,HQ122933.1,+,1,822,+,1,822,20837764,,,blaOXA-134,2022-08-09.1,WP_005104969.1
blaOXA-143,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-143,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,Carbapenemase,no,WP_063861042.1,NG_049441.1,No,ACX70402.1,GQ861437.1,+,2914,3741,+,101,928,19770279,,,blaOXA-143,2022-08-09.1,WP_063861042.1
blaOXA-198,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-198,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,Carbapenemase,yes,WP_094865115.1,NG_049494.2,Yes,,HQ634775.2,+,3025,3801,+,101,877,29581118,,,blaOXA-198,2022-08-09.1,WP_094865115.1
blaOXA-211,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-211,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,Carbapenemase,no,WP_063861666.1,NG_049510.1,No,AEV91550.1,JN861779.1,+,1,825,+,1,825,22128805,,,blaOXA-211,2022-08-09.1,WP_063861666.1
blaOXA-213,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-213,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,Carbapenemase,no,WP_005047495.1,NG_049512.1,No,AEV91552.1,JN861781.1,+,1,822,+,1,822,22128805,,,blaOXA-213,2022-08-09.1,WP_005047495.1
blaOXA-214,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-214,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,Carbapenemase,no,WP_008942158.1,NG_049513.1,No,AEV91553.1,JN861782.1,+,1,828,+,1,828,22128805,,,blaOXA-214,2022-08-09.1,WP_008942158.1
blaOXA-229,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-229,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,Carbapenemase,no,WP_063861840.1,NG_049524.1,No,AFM55000.1,JQ422052.1,+,1100,1930,+,101,931,22508298,,,blaOXA-229,2022-08-09.1,WP_063861840.1
blaOXA-372,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-372,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,Carbapenemase,no,WP_063862739.1,NG_049663.1,No,AIG22448.1,KJ746496.1,+,1,774,+,1,774,26126492,,,blaOXA-372,2022-08-09.1,WP_063862739.1
blaOXA-427,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-427,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,Carbapenemase,no,WP_096807440.1,NG_055581.1,No,ARO85965.1,KX827604.1,+,1,795,+,1,795,34427311,,,blaOXA-427,2022-08-09.1,WP_096807440.1
blaOXA-542,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-542,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,Carbapenemase,no,WP_109545048.1,NG_057454.1,No,AQT01639.1,KY646155.1,+,1,828,+,1,828,,,,blaOXA-542,2022-08-09.1,WP_109545048.1
blaOXA-55,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-55,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,Carbapenemase,no,WP_063864256.1,NG_049795.1,No,AAR03105.1,AY343493.1,+,77,946,+,77,946,15105119,,,blaOXA-55,2022-08-09.1,WP_063864256.1
blaOXA-60,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-60,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,Carbapenemase,no,WP_063864500.1,NG_049800.1,No,AAQ08905.1,AF525303.2,+,2771,3586,+,101,916,15504844,,,blaOXA-60,2022-08-09.1,WP_063864500.1
blaOXA-62,blaOXA,,carbapenem-hydrolyzing class D beta-lactamase OXA-62,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,Carbapenemase,no,WP_063864527.1,NG_049802.1,No,AAR32134.1,AY423074.1,+,1,858,+,1,858,16569848,,,blaOXA-62,2022-08-09.1,WP_063864527.1
